time,value
1542981491,2389915.344
1542985080,2420906.955
1542988681,2360985.622
1542992280,2416865.856
1542995881,2389915.344
1542999480,2403311.932
1543003081,2337935.748
1543006680,2368812.132
1543010281,2405979.073
1543013880,2392570.792
1543017481,2376743.228
1543021080,2388580.206
1543024680,2392570.792
1543028280,2397989.180
1543031880,2395238.095
1543035481,2363582.966
1543039080,2381948.920
1543042681,2380643.193
1543046281,2403287.821
1543049880,2414101.292
1543053481,2400608.584
1543057080,2395238.095
1543060681,2247380.779
1543064281,2342984.999
1543067881,2369089.208
1543071481,2381948.920
1543075080,2385918.840
1543078681,2395238.095
1543082281,2380643.193
1543085881,2400608.584
1543089480,2384639.697
1543093080,2381972.394
1543096680,2380643.193
1543100280,2368904.483
1543103880,2395250.029
1543107481,2384639.697
1543111081,2420943.922
1543114681,2419692.224
1543118280,2411397.945
1543121881,2388592.041
1543125481,2384639.697
1543129081,2355802.326
1543132681,2414101.292
1543136281,2387248.041
1543139881,2412870.086
1543143480,2348618.135
1543147080,2400704.705
1543150681,2398061.032
