time,value
1542981491,16.99
1542985080,17.00
1542988681,17.00
1542992280,16.96
1542995881,17.11
1542999480,17.22
1543003081,17.26
1543006680,17.17
1543010281,17.24
1543013880,17.17
1543017481,17.26
1543021080,17.19
1543024680,17.20
1543028280,17.07
1543031880,17.13
1543035481,17.18
1543039080,17.21
1543042681,17.13
1543046281,17.24
1543049880,17.11
1543053481,17.05
1543057080,16.99
1543060681,17.01
1543064281,16.97
1543067881,17.03
1543071481,16.98
1543075080,16.99
1543078681,16.98
1543082281,16.97
1543085881,17.18
1543089480,17.23
1543093080,17.18
1543096680,17.18
1543100280,17.24
1543103880,17.17
1543107481,17.10
1543111081,17.19
1543114681,17.26
1543118280,17.08
1543121881,17.17
1543125481,17.24
1543129081,17.21
1543132681,17.13
1543136281,17.21
1543139881,17.18
1543143480,17.24
1543147080,17.22
1543150681,17.19
