time,value
1542901912,2215617.834
1542905460,2193016.217
1542909060,2234489.905
1542912660,2224032.763
1542916260,2199949.375
1542919860,2195589.424
1542923460,2204778.229
1542927060,2224929.826
1542930660,2221346.903
1542934260,2194957.979
1542937860,2225684.075
1542941460,2201209.352
1542945060,2201592.331
1542948660,2235149.305
1542952260,2203692.006
1542955860,2219500.913
1542959460,2202007.199
1542963060,2220158.261
1542966660,2193768.830
1542970260,2222152.266
1542973860,2211211.955
1542977460,2191392.985
1542981060,2201628.009
1542984660,2224667.332
1542988260,2234629.814
1542991860,2218131.663
1542995460,2213807.492
1542999060,2218941.233
1543002660,2246021.824
1543006260,2189146.561
1543009860,2208335.499
1543013460,2203560.902
1543017060,2228059.068
1543020660,2212165.769
1543024260,2219301.971
1543027860,2214169.903
1543031460,2221674.885
1543035061,2198251.232
1543038660,2202704.512
1543042260,2215545.939
1543045860,2226789.428
1543049460,2232999.250
1543053060,2195653.220
1543056660,2233256.178
1543060260,2215551.406
1543063860,2224364.274
1543067460,2220567.079
1543071060,2221777.943
