time,value
1542901912,84.31
1542905460,84.28
1542909060,84.27
1542912660,84.26
1542916260,84.29
1542919860,84.24
1542923460,84.28
1542927060,84.26
1542930660,84.26
1542934260,84.26
1542937860,84.28
1542941460,84.26
1542945060,84.25
1542948660,84.25
1542952260,84.27
1542955860,84.30
1542959460,84.30
1542963060,84.35
1542966660,84.27
1542970260,84.25
1542973860,84.40
1542977460,84.26
1542981060,84.26
1542984660,84.25
1542988260,84.26
1542991860,84.26
1542995460,84.25
1542999060,84.27
1543002660,84.27
1543006260,84.29
1543009860,84.28
1543013460,84.27
1543017060,84.27
1543020660,84.25
1543024260,84.27
1543027860,84.28
1543031460,84.31
1543035061,84.28
1543038660,84.28
1543042260,84.25
1543045860,84.28
1543049460,84.27
1543053060,84.28
1543056660,84.25
1543060260,84.26
1543063860,84.26
1543067460,84.25
1543071060,84.26
