time,value
1542983355,16.73
1542986940,16.66
1542990540,16.69
1542994140,16.65
1542997740,16.64
1543001340,16.65
1543004940,16.69
1543008541,16.64
1543012140,16.65
1543015740,16.66
1543019341,16.66
1543022940,16.65
1543026540,16.71
1543030141,16.71
1543033740,16.70
1543037340,16.65
1543040940,16.65
1543044540,16.76
1543048141,16.66
1543051740,16.66
1543055340,16.66
1543058940,16.64
1543062540,16.66
1543066140,16.65
1543069740,16.65
1543073340,16.65
1543076940,16.66
1543080540,16.65
1543084140,16.65
1543087740,16.65
1543091340,16.65
1543094941,16.65
1543098540,16.66
1543102140,16.65
1543105741,16.65
1543109340,16.65
1543112940,16.69
1543116540,16.68
1543120140,16.66
1543123740,16.65
1543127340,16.62
1543130940,16.65
1543134540,16.65
1543138140,16.69
1543141740,16.68
1543145340,16.69
1543148940,16.68
1543152540,16.70
