time,value
1542983355,5.352
1542986940,5.344
1542990540,5.271
1542994140,5.262
1542997740,5.246
1543001340,5.243
1543004940,5.241
1543008541,5.328
1543012140,5.312
1543015740,5.299
1543019341,5.242
1543022940,5.220
1543026540,5.484
1543030141,5.331
1543033740,5.498
1543037340,5.272
1543040940,5.335
1543044540,5.402
1543048141,5.403
1543051740,5.371
1543055340,5.390
1543058940,5.399
1543062540,5.309
1543066140,5.300
1543069740,5.348
1543073340,5.342
1543076940,5.426
1543080540,5.341
1543084140,5.390
1543087740,5.418
1543091340,5.252
1543094941,5.388
1543098540,5.367
1543102140,5.257
1543105741,5.389
1543109340,5.375
1543112940,5.584
1543116540,5.475
1543120140,5.356
1543123740,5.410
1543127340,5.338
1543130940,5.380
1543134540,5.282
1543138140,5.318
1543141740,5.251
1543145340,5.377
1543148940,5.339
1543152540,5.345
