time,value
1542957567,2317649.400
1542961141,2330355.391
1542964741,2361008.481
1542968340,2302760.586
1542971941,2374087.779
1542975541,2312643.678
1542979141,2312643.678
1542982740,2374041.298
1542986340,2378110.430
1542989940,2389915.344
1542993540,2203877.643
1542997140,2322698.651
1543000741,2376673.273
1543004341,2374227.235
1543007941,2367494.745
1543011541,2308917.614
1543015140,2374041.298
1543018740,2330355.391
1543022341,2363582.966
1543025940,2371420.943
1543029540,2355802.326
1543033140,2351927.647
1543036740,2362317.211
1543040340,2348168.295
1543043941,2374087.779
1543047540,2254978.691
1543051141,2362317.211
1543054740,2363628.836
1543058340,2377993.642
1543061940,2363628.836
1543065540,2370230.731
1543069140,2363628.836
1543072740,2198907.104
1543076340,2390010.186
1543079940,2374227.235
1543083540,2322698.651
1543087140,2336569.469
1543090741,2371559.932
1543094340,2387271.671
1543097940,2262576.135
1543101541,2391241.591
1543105140,2383328.072
1543108740,2349471.262
1543112340,2353216.374
1543115940,2375518.791
1543119540,2348618.135
1543123141,2381948.920
1543126741,2378005.320
