time,value
1542957300,345.29
1542957567,906.05
1542961141,554.45
1542964741,309.95
1542968340,309.97
1542971941,309.96
1542975541,309.94
1542979141,310.04
1542982740,310.23
1542986340,310.19
1542989940,309.85
1542993540,309.87
1542997140,309.84
1543000741,309.80
1543004341,310.09
1543007941,310.08
1543011541,310.02
1543015140,310.05
1543018740,309.67
1543022341,308.41
1543025940,309.82
1543029540,309.83
1543033140,309.89
1543036740,310.19
1543040340,309.74
1543043941,310.06
1543047540,310.07
1543051141,310.00
1543054740,309.75
1543058340,309.96
1543061940,310.13
1543065540,310.12
1543069140,309.83
1543072740,310.01
1543076340,309.88
1543079940,309.73
1543083540,310.28
1543087140,310.36
1543090741,310.30
1543094340,309.72
1543097940,310.02
1543101541,310.09
1543105140,309.82
1543108740,309.91
1543112340,309.64
1543115940,310.15
1543119540,309.79
1543123141,310.00
1543126741,310.14
