time,value
1542957300,16.79
1542957567,88.20
1542961141,87.45
1542964741,8.48
1542968340,8.47
1542971941,8.40
1542975541,8.43
1542979141,8.47
1542982740,8.41
1542986340,8.43
1542989940,8.42
1542993540,8.42
1542997140,8.46
1543000741,8.45
1543004341,8.45
1543007941,8.44
1543011541,8.50
1543015140,8.43
1543018740,8.46
1543022341,8.46
1543025940,8.43
1543029540,8.47
1543033140,8.46
1543036740,8.44
1543040340,8.43
1543043941,8.40
1543047540,8.43
1543051141,8.43
1543054740,8.43
1543058340,8.43
1543061940,8.44
1543065540,8.41
1543069140,8.46
1543072740,8.47
1543076340,8.46
1543079940,8.45
1543083540,8.47
1543087140,8.39
1543090741,8.47
1543094340,8.42
1543097940,8.43
1543101541,8.45
1543105140,8.41
1543108740,8.47
1543112340,8.44
1543115940,8.41
1543119540,8.48
1543123141,8.48
1543126741,8.42
