time,value
1542981491,38.000
1542985080,34.470
1542988681,37.910
1542992280,38.550
1542995881,36.730
1542999480,38.180
1543003081,34.500
1543006680,36.450
1543010281,37.440
1543013880,37.700
1543017481,35.690
1543021080,38.170
1543024680,36.210
1543028280,35.710
1543031880,37.000
1543035481,7.380
1543039080,35.460
1543042681,34.980
1543046281,37.960
1543049880,35.000
1543053481,37.530
1543057080,38.450
1543060681,37.720
1543064281,37.500
1543067881,37.670
1543071481,37.200
1543075080,37.210
1543078681,37.630
1543082281,37.220
1543085881,37.260
1543089480,37.510
1543093080,37.200
1543096680,37.690
1543100280,36.950
1543103880,37.750
1543107481,37.450
1543111081,37.000
1543114681,37.190
1543118280,36.450
1543121881,36.180
1543125481,36.930
1543129081,35.960
1543132681,36.480
1543136281,36.160
1543139881,36.460
1543143480,37.390
1543147080,38.180
1543150681,36.770
