time,value
1542985911,67.96
1542989460,33.77
1542993060,33.76
1542996660,33.86
1543000260,33.79
1543003860,33.83
1543007460,33.89
1543011060,33.81
1543014660,33.79
1543018260,33.87
1543021860,33.82
1543025460,33.80
1543029060,33.86
1543032660,33.85
1543036260,33.86
1543039860,33.82
1543043460,33.83
1543047060,33.81
1543050660,33.83
1543054260,33.81
1543057860,33.83
1543061460,33.82
1543065060,33.85
1543068660,33.86
1543072260,33.81
1543075860,33.88
1543079460,33.85
1543083060,33.82
1543086660,33.81
1543090260,33.85
1543093860,33.86
1543097460,33.83
1543101060,33.81
1543104660,33.82
1543108260,33.80
1543111860,33.77
1543115460,33.80
1543119060,33.83
1543122660,33.83
1543126260,33.82
1543129860,33.78
1543133460,33.80
1543137060,33.86
1543140660,33.80
1543144260,33.86
1543147860,33.80
1543151460,33.82
1543155060,33.78
