time,value
1542985911,33.43
1542989460,33.30
1542993060,34.23
1542996660,34.25
1543000260,34.32
1543003860,34.32
1543007460,34.19
1543011060,33.36
1543014660,33.35
1543018260,34.25
1543021860,34.23
1543025460,34.36
1543029060,34.23
1543032660,34.38
1543036260,34.31
1543039860,34.33
1543043460,34.24
1543047060,34.26
1543050660,34.41
1543054260,34.27
1543057860,34.30
1543061460,34.32
1543065060,34.23
1543068660,34.29
1543072260,34.28
1543075860,34.29
1543079460,34.26
1543083060,34.27
1543086660,34.32
1543090260,34.25
1543093860,34.29
1543097460,34.32
1543101060,34.34
1543104660,34.27
1543108260,34.27
1543111860,34.32
1543115460,34.35
1543119060,34.32
1543122660,34.33
1543126260,34.28
1543129860,34.30
1543133460,34.32
1543137060,34.32
1543140660,34.28
1543144260,34.27
1543147860,34.30
1543151460,34.24
1543155060,34.27
