time,value
1542985911,17.307
1542989460,17.325
1542993060,17.086
1542996660,16.971
1543000260,16.963
1543003860,17.068
1543007460,17.059
1543011060,16.895
1543014660,17.339
1543018260,16.809
1543021860,16.934
1543025460,16.980
1543029060,16.911
1543032660,17.197
1543036260,17.002
1543039860,16.851
1543043460,17.082
1543047060,16.765
1543050660,16.864
1543054260,17.014
1543057860,16.768
1543061460,16.864
1543065060,16.874
1543068660,16.965
1543072260,17.027
1543075860,16.867
1543079460,17.023
1543083060,16.668
1543086660,16.688
1543090260,17.045
1543093860,16.807
1543097460,16.773
1543101060,16.695
1543104660,16.734
1543108260,16.723
1543111860,17.008
1543115460,17.145
1543119060,16.773
1543122660,16.927
1543126260,16.845
1543129860,16.926
1543133460,16.978
1543137060,16.911
1543140660,16.875
1543144260,17.176
1543147860,16.959
1543151460,17.025
1543155060,17.079
