time,value
1542985811,2636670.691
1542989401,2573316.158
1542993000,2557998.538
1542996600,2581039.218
1543000200,2590460.650
1543003800,2561032.885
1543007400,2545860.633
1543011001,2545917.954
1543014600,2348078.347
1543018201,2567203.907
1543021800,2562570.098
1543025401,2562548.177
1543029001,2528008.524
1543032600,2561032.885
1543036200,2612465.598
1543039800,2576394.269
1543043401,2578712.559
1543047000,2559499.346
1543050601,2554978.571
1543054201,2576394.269
1543057800,2590460.650
1543061400,2574920.086
1543065001,2595116.778
1543068601,2515986.264
1543072201,2576394.269
1543075800,2566388.917
1543079401,2553604.083
1543083000,2573316.158
1543086600,2566429.286
1543090200,2584154.527
1543093800,2549211.508
1543097401,2543808.633
1543101000,2579487.179
1543104601,2587375.153
1543108201,2403311.932
1543111800,2548145.893
1543115400,2545842.720
1543119000,2595143.339
1543122600,2540233.234
1543126200,2545111.430
1543129800,2551915.152
1543133400,2595896.073
1543137001,2547347.343
1543140601,2588825.641
1543144200,2554920.635
1543147800,2564871.843
1543151401,2622056.634
1543155000,2530817.610
