time,value
1542985811,2.36
1542989401,2.61
1542993000,2.21
1542996600,2.40
1543000200,1.86
1543003800,2.73
1543007400,1.86
1543011001,2.37
1543014600,2.64
1543018201,2.17
1543021800,2.18
1543025401,1.84
1543029001,2.11
1543032600,1.63
1543036200,2.05
1543039800,1.61
1543043401,2.03
1543047000,2.89
1543050601,2.43
1543054201,2.65
1543057800,2.30
1543061400,2.38
1543065001,2.01
1543068601,1.70
1543072201,2.71
1543075800,2.16
1543079401,2.13
1543083000,2.37
1543086600,2.53
1543090200,1.87
1543093800,2.40
1543097401,1.60
1543101000,2.55
1543104601,2.02
1543108201,1.32
1543111800,2.12
1543115400,2.65
1543119000,2.13
1543122600,2.64
1543126200,2.33
1543129800,2.07
1543133400,1.62
1543137001,2.06
1543140601,1.55
1543144200,2.05
1543147800,2.96
1543151401,1.85
1543155000,2.69
