time,value
1542985811,12.730
1542989401,13.250
1542993000,13.940
1542996600,14.440
1543000200,14.330
1543003800,14.640
1543007400,14.710
1543011001,14.600
1543014600,15.080
1543018201,14.740
1543021800,14.570
1543025401,14.830
1543029001,14.930
1543032600,14.880
1543036200,14.100
1543039800,14.560
1543043401,14.910
1543047000,15.040
1543050601,14.530
1543054201,14.290
1543057800,14.460
1543061400,15.110
1543065001,14.680
1543068601,14.940
1543072201,14.640
1543075800,14.430
1543079401,14.860
1543083000,15.000
1543086600,14.530
1543090200,14.840
1543093800,14.630
1543097401,14.520
1543101000,15.440
1543104601,14.430
1543108201,14.970
1543111800,14.770
1543115400,14.520
1543119000,14.820
1543122600,14.280
1543126200,15.130
1543129800,14.430
1543133400,14.360
1543137001,14.530
1543140601,14.580
1543144200,15.000
1543147800,14.450
1543151401,14.440
1543155000,15.460
